Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
Additional and Special Treatments;T_ADSPTRTE3;6 EC;Ac. Year (September);500;English;ACTA;dr. H. Shemesh;dr. H. Shemesh;;Entry requirements: successfully completed the Endodontology profile;This course covers topics related to advanced clinical situations related to patient care. The learning objectives will be achieved by means of a combination of seminars, self-study, relevant external courses, training and assignments.;https://studiegids.vu.nl/en/courses/2024-2025/T_ADSPTRTE3;;;;;;;;;
Addressing Disease Burden in a Global Context;AM_1045;6 EC;P1;600;English;Faculty of Science;dr. A.H.A. ten Asbroek;dr. A.H.A. ten Asbroek;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;Second year VU-Global Health students only.;Low-income countries are confronted with a growing burden of chronic, non-infectious disorders and concurrently have a high incidence of infectious diseases: the double disease burden. The interrelationship between some infections and chronic disease has been well-established.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1045;;;;;;;;;
ADME;XM_0136;6 EC;P1;400;English;Faculty of Science;dr. S. Moco;dr. S. Moco;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;Of the thousands of novel compounds that are developed by drug discovery programs, only a fraction have the appropriate pharmacokinetic properties to become a drug product. Pharmacokinetics is determined by the complex processes involved in absorption (A), distribution (D), metabolism (M) and excretion (E) of the drug, the so-called ADME processes. Furthermore, 20% of the drug entering the clinical development phase fail, because of safety or side-effects.;https://studiegids.vu.nl/en/courses/2024-2025/XM_0136;;;;;;;;;
Advanced 3D Kinematics;B_ADV3DKIN;3 EC;P4;400;English;Faculty of Behavioural and Movement Sc.;dr. S.M. Bruijn;dr. S.M. Bruijn;;The course builds on the course “applied biomechanics”, in which more rudimentary 3d kinematics are already discussed. As such, it is obligatory for students to follow “applied biomechanics”;In this course students will learn to understand the relevance of 3D kinematic analyses in Human Movement Science, and to understand the general approaches common in 3D kinematic analyses.;https://studiegids.vu.nl/en/courses/2024-2025/B_ADV3DKIN;;;;;;;;;
Advanced Algebraic Geometry;XMM_418083;8 EC;P1+2+3;400;English;Faculty of Science;prof. dr. S. Bhulai;;Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XMM_418083;;;;;;;;;
Advanced Asset Pricing;E_FIN_AAP;6 EC;P2;400;English;School of Business and Economics;A. Pitkäjärvi;A. Pitkäjärvi;Secondary subject for non-VU students;You should be familiar with investments at the level of Bodie, Kane & Marcus, Investments. Undergraduate level knowledge of statistics and mathematics is also required (e.g., Berenson, Levine, Krehbiel: Basic Business Statistics; Sydsaeter and Hammond: Essential Mathematics for Economic Analysis; Sydsaeter, Hammond, Seierstad, and Strom: Further Mathematics for Economic Analysis).;Starting from basic (undergraduate) investments knowledge, this course centers around the issues of asset pricing and investments. In the first week we revisit the well-known mean-variance framework and derive the standard CAPM. Starting from the second week, we carefully study the assumptions underlying the CAPM framework and ask ourselves what they imply for asset pricing. Examples include the assumption of mean-variance utility, rational expectations, and complete arbitrage. Throughout the course, neoclassical and behavioral theories are confronted with each other. The course includes a combination of theory and empirics. Students will compete in a trading game in which they can directly apply their newly acquired knowledge and experience the real-life issues associated with investing.;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_AAP;;;;;;;
Advanced Auditing;E_ACC_AA;6 EC;P5;400;English;School of Business and Economics;prof. dr. A.H. Gold;prof. dr. A.H. Gold;Secondary subject for non-VU students, Part of an Exchange Programme;NA;The focus of this course is to offer students an in-depth understanding of a range of topics related to the financial statement audit process and the various challenges the auditing profession is currently facing, from both an academic, regulatory and practical perspective. We will make a selection among the following topics:;https://studiegids.vu.nl/en/courses/2024-2025/E_ACC_AA;;;;;;;;;
Advanced Auditing;E_PTACC_AA;6 EC;P5;400;English;School of Business and Economics;prof. dr. A.H. Gold;prof. dr. A.H. Gold;Secondary subject for non-VU students;NA;The focus of this course is to offer students an in-depth understanding of a range of topics related to the financial statement audit process and the various challenges the auditing profession is currently facing, from both an academic, regulatory and practical perspective. We will make a selection among the following topics:;https://studiegids.vu.nl/en/courses/2024-2025/E_PTACC_AA;;;;;;;;;
Advanced Banking;E_FIN_AB;6 EC;P2;400;English;School of Business and Economics;dr. D. Jansen;dr. D. Jansen;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;NA;The course is structured around two main themes:;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_AB;;;;;;;;;
Advanced Bioanalytical Approaches;XM_0107;6 EC;P2;400;English;Faculty of Science;dr. I. Kohler;dr. I. Kohler;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;In the Advanced Bioanalytical Approaches course, you will get familiar with state-of-the-art bioanalytical approaches used in drug discovery.;https://studiegids.vu.nl/en/courses/2024-2025/XM_0107;;;;;;;;;
Advanced Biophysics;X_422583;6 EC;P5;400;English;Faculty of Science;dr. D. Dulin;dr. D. Dulin;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/X_422583;;;;;;;;;
Advanced Compiler Construction;XM_0139;6 EC;P3;400;English;Faculty of Science;dr. K. Freiherr von Gleissenthal;dr. K. Freiherr von Gleissenthal;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;This course gives an introduction to the internals of modern compilers with a unique twist: the emphasis is not just on translating a source program into an executable binary, or traditional optimization passes, but also on software hardening techniques to enhance the target program’s security. As a result, the student learns about all fundamental aspects of compilers, but also the performance and security implications of the code it generates. To address these concerns, students learn compiler-based techniques that improve both the performance and the security. The course allows students to gather practical, hands-on experience on building compiler components with weekly assignments.;https://studiegids.vu.nl/en/courses/2024-2025/XM_0139;;;;;;;;;
Advanced Computational Chemistry;XMU_0014;6 EC;P6;500;English;Faculty of Science;prof. dr. F.M. Bickelhaupt;;;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025-en/search-course/course/119440;https://studiegids.vu.nl/en/courses/2024-2025/XMU_0014;;;;;;;;;
Advanced Corporate Finance;E_FIN_ACF;6 EC;P1;400;English;School of Business and Economics;prof. dr. ir. H.A. Rijken;prof. dr. ir. H.A. Rijken;Secondary subject for non-VU students, Part of an Exchange Programme;This advanced course is elaborating on classical text books like Corporate Finance (Berk and DeMarzo) and Principles of Corporate Finance (Brealey, Myers and Allen).;This course is an advanced course in Corporate Finance. Corporate Finance discipline is about matching companies’ assets with investor’s preferences. It has both a micro perspective on CFO decision making and a macro perspective on the functioning of Corporate Financial Markets. This course gives an overview of academic knowledge in corporate finance relevant for corporate finance professionals.;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_ACF;;;;;;;;;
Advanced Corporate Finance for Accounting and Control;E_ACC_ACFAC;6 EC;P5;400;English;School of Business and Economics;A. Rehman;A. Rehman;Secondary subject for non-VU students, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_ACC_ACFAC;;;;;;;;;
Advanced Corporate Finance for Accounting and Control;E_PTACC_ACF;6 EC;P5;400;Dutch;School of Business and Economics;A. Rehman;A. Rehman;Secondary subject for non-VU students;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_PTACC_ACF;;;;;;;;;
Advanced Course in Molecular Toxicology;XM_0114;6 EC;P4;500;English;Faculty of Science;prof. dr. P. Jennings;prof. dr. P. Jennings;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/XM_0114;;;;;;;;;
Advanced Data Analysis;P_MADVDAT;6 EC;P3;500;English;Faculty of Behavioural and Movement Sc.;dr. F. Righetti;dr. F. Righetti;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/P_MADVDAT;;;;;;;;;
Advanced Digital Archaeology;L_AABAALG061;6 EC;P4;300;English;Faculty of Humanities;dr. J.W.H.P. Verhagen;dr. J.W.H.P. Verhagen;Extra curricular course for VU students, Secondary subject for non-VU students;NA;The course is structured around practicals that are designed to develop archaeological data management and analysis skills to solve specific research questions, using;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAALG061;;;;;;;;;
Advanced Econometrics;E_EORM_AECTR;6 EC;P1;400;English;School of Business and Economics;dr. E.J.J. Wijler MSc;dr. E.J.J. Wijler MSc;Secondary subject for non-VU students, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_EORM_AECTR;;;;;;;;;
Advanced Electrodynamics and Special Relativity;XBU_0028;6 EC;P4;300;English;Faculty of Science;dr. C.P. Broedersz;dr. C.P. Broedersz;;NA;https://studiegids.uva.nl/xmlpages/page/2024-2025/zoek-vak/vak/119241;https://studiegids.vu.nl/en/courses/2024-2025/XBU_0028;;;;;;;;;
Advanced English Language Skills;L_ETBACIW301;6 EC;P5;300;English;Faculty of Humanities;dr. T. Krennmayr;dr. T. Krennmayr;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;Students must have passed all courses in the second year of the CIS track;The course consists of three components: (a) presenting (b);https://studiegids.vu.nl/en/courses/2024-2025/L_ETBACIW301;;;;;;;;;
Advanced English Language Skills (blended learning);L_ETPMSVE001;6 EC;P3;300;English;Faculty of Humanities;K.K. Gehrman;K.K. Gehrman;Extra curricular course for VU students;NA;This course functions as a capstone English language skills course for students at the end of their Bachelor track. It affords them the opportunity to assess the academic language skills that they have developed thus far and to receive feedback from their instructor and peers. The aim of the course is to evaluate their progress and prepare them for Master-level coursework in English. The main points of focus include academic and professional writing, presentation, grammar and translation. The blended learning module consists of on-campus workshops and online meetings and activities.;https://studiegids.vu.nl/en/courses/2024-2025/L_ETPMSVE001;;;;;;;;;
Advanced Financial Accounting;E_FIN_AFA;6 EC;P4;400;English;School of Business and Economics;drs. J.F. Veldman;drs. J.F. Veldman;Secondary subject for non-VU students;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_AFA;;;;;;;;;
Advanced Financial Management;E_FIN_AFM;6 EC;P1;400;English;School of Business and Economics;M. Ceccarelli;M. Ceccarelli;Secondary subject for non-VU students, Part of an Exchange Programme;NA;This course is an advanced course in Corporate Finance.;https://studiegids.vu.nl/en/courses/2024-2025/E_FIN_AFM;;;;;;;;;
